epoch,loss
0,0.198
1,0.197
2,0.197
3,0.197
4,0.196
5,0.196
6,0.198
7,0.198
8,0.197
9,0.195
10,0.196
11,0.197
12,0.195
13,0.196
14,0.193
15,0.194
16,0.193
17,0.193
18,0.197
19,0.19
20,0.189
21,0.193
22,0.199
23,0.199
24,0.189
25,0.184
26,0.182
27,0.174
28,0.166
29,0.171
30,0.167
31,0.155
32,0.15
33,0.148
34,0.138
35,0.134
36,0.125
37,0.122
38,0.119
39,0.116
40,0.101
41,0.1
42,0.109
43,0.099
44,0.093
45,0.089
46,0.098
47,0.086
48,0.083
49,0.081
50,0.089
51,0.077
52,0.082
53,0.078
54,0.078
55,0.082
56,0.071
57,0.074
58,0.071
59,0.076
60,0.07
61,0.067
62,0.061
63,0.062
64,0.059
65,0.063
66,0.061
67,0.055
68,0.072
69,0.057
70,0.057
71,0.056
72,0.057
73,0.056
74,0.052
75,0.049
76,0.052
77,0.052
78,0.054
79,0.045
80,0.056
81,0.054
82,0.046
83,0.048
84,0.045
85,0.048
86,0.045
87,0.045
88,0.042
89,0.043
