epoch,loss
0,0.198
1,0.197
2,0.197
3,0.197
4,0.196
5,0.196
6,0.198
7,0.198
8,0.197
9,0.195
10,0.196
11,0.197
12,0.195
13,0.196
14,0.193
15,0.194
16,0.193
17,0.193
18,0.197
19,0.19
20,0.189
21,0.193
22,0.199
23,0.199
24,0.189
25,0.184
26,0.182
27,0.174
28,0.166
29,0.171
30,0.167
31,0.155
32,0.15
33,0.148
34,0.138
35,0.134
36,0.125
37,0.122
38,0.119
39,0.116
40,0.101
41,0.1
42,0.109
43,0.099
44,0.093
45,0.089
46,0.098
47,0.086
48,0.083
49,0.081
50,0.089
51,0.077
52,0.082
53,0.078
54,0.078
55,0.082
56,0.071
57,0.074
58,0.071
59,0.076
60,0.07
61,0.067
62,0.061
63,0.062
64,0.059
65,0.063
66,0.061
67,0.055
68,0.072
69,0.057
70,0.057
71,0.056
72,0.057
73,0.056
74,0.052
75,0.049
76,0.052
77,0.052
78,0.054
79,0.045
80,0.056
81,0.054
82,0.046
83,0.048
84,0.045
85,0.048
86,0.045
87,0.045
88,0.042
89,0.043
90,0.039
91,0.035
92,0.036
93,0.036
94,0.036
95,0.036
96,0.035
97,0.035
98,0.035
99,0.036
100,0.033
101,0.034
102,0.034
103,0.034
104,0.034
105,0.033
106,0.035
107,0.035
108,0.034
109,0.032
110,0.034
111,0.033
112,0.032
113,0.033
114,0.031
115,0.033
116,0.03
117,0.033
118,0.034
119,0.032
120,0.032
121,0.033
122,0.032
123,0.032
124,0.033
125,0.034
126,0.032
127,0.033
128,0.031
129,0.032
130,0.032
131,0.031
132,0.034
133,0.031
134,0.034
135,0.031
136,0.031
137,0.032
138,0.031
139,0.032
140,0.032
141,0.032
142,0.034
143,0.034
144,0.032
145,0.034
146,0.034
147,0.031
148,0.034
149,0.032
150,0.032
151,0.033
152,0.033
153,0.033
154,0.031
155,0.033
156,0.031
157,0.033
158,0.031
159,0.033
160,0.032
161,0.03
162,0.034
163,0.032
164,0.031
165,0.03
166,0.029
167,0.031
168,0.031
169,0.031
170,0.03
171,0.032
172,0.028
173,0.029
174,0.031
175,0.03
176,0.03
177,0.031
178,0.029
179,0.03
180,0.03
181,0.029
182,0.028
183,0.03
184,0.027
185,0.028
186,0.029
187,0.029
188,0.03
189,0.028
190,0.029
191,0.029
192,0.027
193,0.028
194,0.028
195,0.028
196,0.027
197,0.028
198,0.029
199,0.027
200,0.027
201,0.027
202,0.029
203,0.027
204,0.028
205,0.027
206,0.028
207,0.027
208,0.026
209,0.029
210,0.026
211,0.027
212,0.029
213,0.029
214,0.028
215,0.028
216,0.027
217,0.028
218,0.026
219,0.027
220,0.028
221,0.025
222,0.027
223,0.027
224,0.027
225,0.028
226,0.028
227,0.028
228,0.028
229,0.027
230,0.028
231,0.026
232,0.026
233,0.025
234,0.028
235,0.027
236,0.026
237,0.026
238,0.026
239,0.025
240,0.026
241,0.03
242,0.026
243,0.027
244,0.025
245,0.028
246,0.024
247,0.025
248,0.025
249,0.026
250,0.025
251,0.027
252,0.027
253,0.025
254,0.025
255,0.026
256,0.027
257,0.027
258,0.025
259,0.025
260,0.026
261,0.026
262,0.024
263,0.025
264,0.026
265,0.027
266,0.025
267,0.026
268,0.025
269,0.026
270,0.025
271,0.024
272,0.027
273,0.026
274,0.026
275,0.025
276,0.027
277,0.026
278,0.026
279,0.025
280,0.025
281,0.025
282,0.025
283,0.025
284,0.025
285,0.026
286,0.027
287,0.025
288,0.025
289,0.026
290,0.026
291,0.026
292,0.025
293,0.023
294,0.026
295,0.026
296,0.025
297,0.025
298,0.025
299,0.024
300,0.025
301,0.026
302,0.024
303,0.027
304,0.025
305,0.025
306,0.025
307,0.027
308,0.028
309,0.026
310,0.027
311,0.026
312,0.027
313,0.025
314,0.025
315,0.025
316,0.026
317,0.026
318,0.027
319,0.027
320,0.024
321,0.026
322,0.026
323,0.027
324,0.024
325,0.026
326,0.025
327,0.025
328,0.025
329,0.026
330,0.025
331,0.024
332,0.024
333,0.025
334,0.027
335,0.027
336,0.025
337,0.026
338,0.026
339,0.023
340,0.026
341,0.026
342,0.026
343,0.028
344,0.025
345,0.028
346,0.026
347,0.024
348,0.027
349,0.028
350,0.024
351,0.026
352,0.025
353,0.025
354,0.023
355,0.027
356,0.024
357,0.027
358,0.024
359,0.026
360,0.025
361,0.025
362,0.024
363,0.025
364,0.027
365,0.027
366,0.026
367,0.025
368,0.026
369,0.026
370,0.026
371,0.024
372,0.025
373,0.024
374,0.025
375,0.025
376,0.027
377,0.026
378,0.024
379,0.025
380,0.026
381,0.028
382,0.027
383,0.025
384,0.026
385,0.026
386,0.025
387,0.028
388,0.025
389,0.026
390,0.027
391,0.025
392,0.024
393,0.024
394,0.024
395,0.025
396,0.027
397,0.026
398,0.026
399,0.025
400,0.026
401,0.026
402,0.026
403,0.024
404,0.025
405,0.025
406,0.027
407,0.025
408,0.025
409,0.025
410,0.026
411,0.024
412,0.025
413,0.025
414,0.026
415,0.026
416,0.025
417,0.026
418,0.025
419,0.026
420,0.025
